,index,count,mean,std,min,25%,50%,75%,max
0,team,1197.0,6.43,3.46,1.0,3.0,6.0,9.0,12.0
1,targeted_productivity,1197.0,0.73,0.1,0.07,0.7,0.75,0.8,0.8
2,smv,1197.0,15.06,10.94,2.9,3.94,15.26,24.26,54.56
3,wip,691.0,1190.47,1837.46,7.0,774.5,1039.0,1252.5,23122.0
4,over_time,1197.0,4567.46,3348.82,0.0,1440.0,3960.0,6960.0,25920.0
5,incentive,1197.0,38.21,160.18,0.0,0.0,0.0,50.0,3600.0
6,idle_time,1197.0,0.73,12.71,0.0,0.0,0.0,0.0,300.0
7,idle_men,1197.0,0.37,3.27,0.0,0.0,0.0,0.0,45.0
8,no_of_style_change,1197.0,0.15,0.43,0.0,0.0,0.0,0.0,2.0
9,no_of_workers,1197.0,34.61,22.2,2.0,9.0,34.0,57.0,89.0
10,actual_productivity,1197.0,0.74,0.17,0.23,0.65,0.77,0.85,1.12
